glosa,english
histori,history; story; historical; narrative; report 
holo,whole; complete; absolute; completely; entire; quite; total; utter (whole); wholly 
holo tem,ever (at all times); forever 
homi,human; human race; man; mortal; mankind; person 
homo,same; like (similar); alike; equal (nearly); likeness; rather like; resemble; similar; similarity; very like 
honesti,honest; honesty; sincere; upright (honest) 
honora,honor; honour; honesty; respect 
honora-abili,honorable; honourable 
horibili,horrible 
horizo,horizon; horizontal; across; boundary; lie (down); limit (n); lying down 
horo,hour; o'clock; time ((clock) time) 
horo-me,clock; watch 
horo-tabla,timetable 
horti,garden; park (n) 
hospi,guest 
hospita,entertain; hospitable; hospitality; lodge (v) 
hoteli,hotel 
humidi,humid; humidity; damp; dampness; moist; moisture; wet (v) 
humoro,humor; humour; disposition 
id,it; its 
idea,idea; thought; mental image; notion 
idio,unique; private; especial; identity; individual; own (adj); of his/her/its own (particular); particular; peculiar; separate (adj); special 
idio-stori,version 
ikno,track; footprint; Ichno-; track (v); trail 
imagi,image; picture (v) 
imagina,imagine; fancy; grasp (can imagine); imaginary; imagination; picture; image 
imedia,immediate; as soon as; at once (immediately); immediately; instantly; straight away; right away 
impakti,impact; blow (n); push; shock; stroke 
imperi,command; imperial; rule (authority); empire 
importa,important; considerable; great; importance; be important 
impude,cheeky; disgusting 
imuni,immune; safe; protected; protect; safety 
in,in; in (local); indoors; inside of; into 
in-ra,contents 
in-valuta,income 
indika,indicate; point to; hint; clue; designate; point (indicate); signal; trace 
industri,industry; industrial 
infanti,child; infant; kid (child) 
infanti-tem,childhood 
influ,influence; affect 
info,inform; information; announce; data; message; reveal 
info-bileta,label 
infra,below; beneath; inferior; under 
infra toga,skirt 
inklude,include; enclose; lock up; shut in 
insekti,insect 
insigni,flag; badge; emblem; ensign; banner 
instrumenta (long form of ru),instrument; implement; tool; utensil; apparatus; tackle (n) 
insura,insurance; insure 
intelige,intelligent; cunning; shrewd 
inter,between; among 
inter-reti,internet 
interese,interest; interesting 
internatio,international 
intestina,intestine; bowels; gut 
